index,open,high,low,close,tick_volume,spread,real_volume,i,local_min,local_max,roll_vol,roll_vol_mean,roll_vol_std,last_min_price,rol_min,s_rol_min,s_rol_max,stoch,candle_side,v_pattern,v_pattern_near,ppvi,rolling_ppvi,ret_n
2016-09-09 16:53:00,58685.0,58690.0,58635.0,58635.0,276,5,781,1543,0,0,3608.0,3782.87,376.7569279636402,58555.0,58555.0,58555.0,59000.0,0.1797752808988764,-1.0,0,1.0,True,1.0,-130.0
2016-09-13 11:08:00,58035.0,58055.0,57990.0,58020.0,770,5,1918,2266,0,0,6007.0,6130.38,1172.9970194201057,57865.0,57865.0,57865.0,58555.0,0.2246376811594203,-1.0,0,1.0,True,1.0,-110.0
2016-09-13 15:40:00,57105.0,57140.0,57070.0,57080.0,591,5,1479,2538,0,0,3319.0,4848.5,205.66687411886272,57005.0,57005.0,57005.0,57285.0,0.26785714285714285,-1.0,0,1.0,True,1.0,90.0
2016-09-19 13:08:00,58170.0,58170.0,58145.0,58150.0,443,5,1315,4526,0,0,3093.0,3537.22,97.52524800751512,58110.0,58110.0,58110.0,58260.0,0.26666666666666666,-1.0,0,1.0,True,1.0,-60.0
2016-09-19 14:08:00,57825.0,57830.0,57790.0,57795.0,174,5,475,4586,0,0,2432.0,3526.22,145.68682275075392,57720.0,57720.0,57720.0,58070.0,0.21428571428571427,-1.0,0,1.0,True,1.0,20.0
2016-09-21 10:56:00,58400.0,58410.0,58330.0,58355.0,444,5,1265,5464,0,0,4384.0,3019.15,326.900994824198,58285.0,58285.0,58285.0,58575.0,0.2413793103448276,-1.0,0,1.0,True,1.0,-30.0
2016-09-22 15:10:00,59205.0,59210.0,59165.0,59180.0,332,5,753,6253,0,0,1641.0,2389.71,434.59271154118045,59130.0,59130.0,59130.0,59405.0,0.18181818181818182,-1.0,0,1.0,True,1.0,-145.0
2016-10-05 15:43:00,60510.0,60510.0,60475.0,60485.0,345,5,995,11099,0,0,2451.0,2778.01,102.0322078345227,60455.0,60455.0,60455.0,60670.0,0.13953488372093023,-1.0,0,1.0,True,1.0,0.0
2016-10-06 15:53:00,60630.0,60640.0,60600.0,60600.0,250,5,808,11644,0,1,2100.0,2756.07,203.23918611591384,60560.0,60560.0,60560.0,60725.0,0.24242424242424243,-1.0,0,1.0,True,1.0,20.0
2016-10-07 12:55:00,60805.0,60810.0,60755.0,60790.0,455,5,1207,12001,0,0,4346.0,5477.05,425.944675671225,60615.0,60615.0,60615.0,61260.0,0.2713178294573643,-1.0,0,1.0,True,1.0,120.0
2016-10-13 16:59:00,62385.0,62385.0,62370.0,62370.0,250,5,961,13850,0,0,1975.0,3279.77,115.52117646927177,62350.0,62350.0,62350.0,62485.0,0.14814814814814814,-1.0,0,1.0,True,1.0,15.0
